Event Date,Duration,Start Time,End Time,Notification Time,Similar Weekdays
2020-08-10,1,19:00,20:00,2020-08-09 17:00,"2020-08-07, 2020-08-06,..."
2020-08-12,3,17:00,20:00,2020-08-11 17:00,"2020-08-11, 2020-08-07,..."
2020-08-28,1,19:00,20:00,2020-08-27 17:00,"2020-08-27, 2020-08-26,..."
2020-08-31,3,17:00,20:00,2020-08-30 17:00,"2020-08-27, 2020-08-26,..."
