Program ,state,comp,util,region,season,sm,em,dow,min_days,max_events,max_days,min_dur,max_dur,start_time,end_time,events_daily,max_consec,max_hours,notif_type,notif_time,notif_delt,base_method,hist_pres,pay_function,elig
"MCR = [$7.75 x Ca x Nf) +(Av x Ha)] x Slf x 85%  (each variable is defined and outlined in the link i provided)""",NH,Must have a load of at least 300 kW during summer ,,,,,,,,,,,,,,,,,,,,,,,
"Interruptible Credit Option (no notice, 40hrs, summer) (New Mexico)",NJ,Xcel Energy,,west ,summer,6,9,any ,n/a,n/a,n/a,4,n/a,n/a,n/a,1,n/a,40,day_of,n/a,0,Median of max 30 minute integrated  demands  between the hours of 12:00 pm and 8:00 pm weekdays between June 1 and September 30 of the prior year,n/a,"Monthly billing credits calculated by monthly credit rate (mcr) x lesser of customer's CIL or the interruptible demand. MCR equations are different for winter and summer:  Summer (June 1 - September 30) Monthly Credit, per kW - month:",
MCR = [$7.75 x Ca x Nf) +(Av x Ha)] x Slfx 130%,NY,,,,,,,,,,,,,,,,,,,,,,,,
Winter (October 1 - May 30) Monthly Credit,NY, per kW - month:,,,,,,,,,,,,,,,,,,,,,,,
"MCR = [$7.75 x Ca x Nf) +(Av x Ha)] x Slf x 85%  (each variable is defined and outlined in the link i provided)""",PA,Must have a load of at least 300 kW during summer ,,,,,,,,,,,,,,,,,,,,,,,
"Interruptible Credit Option (1-hour notice, 80hrs, summer) (New Mexico)",RI,Xcel Energy,,west ,summer,6,9,any ,n/a,n/a,n/a,4,n/a,n/a,n/a,1,n/a,80,day_of,n/a,1,Median of max 30 minute integrated  demands  between the hours of 12:00 pm and 8:00 pm weekdays between June 1 and September 30 of the prior year,n/a,"Monthly billing credits calculated by monthly credit rate (mcr) x lesser of customer's CIL or the interruptible demand. MCR equations are different for winter and summer:  Summer (June 1 - September 30) Monthly Credit, per kW - month:",
MCR = [$7.75 x Ca x Nf) +(Av x Ha)] x Slfx 130%,RI,,,,,,,,,,,,,,,,,,,,,,,,
Winter (October 1 - May 30) Monthly Credit,VT, per kW - month:,,,,,,,,,,,,,,,,,,,,,,,
"MCR = [$7.75 x Ca x Nf) +(Av x Ha)] x Slf x 85%  (each variable is defined and outlined in the link i provided)""",VT,Must have a load of at least 300 kW during summer ,,,,,,,,,,,,,,,,,,,,,,,
"Interruptible Credit Option (no notice, 80hrs, summer) (New Mexico)",VA,Xcel Energy,,west ,summer,6,9,any ,n/a,n/a,n/a,4,n/a,n/a,n/a,1,n/a,80,day_of,n/a,0,Median of max 30 minute integrated  demands  between the hours of 12:00 pm and 8:00 pm weekdays between June 1 and September 30 of the prior year,n/a,"Monthly billing credits calculated by monthly credit rate (mcr) x lesser of customer's CIL or the interruptible demand. MCR equations are different for winter and summer:  Summer (June 1 - September 30) Monthly Credit, per kW - month:",
MCR = [$7.75 x Ca x Nf) +(Av x Ha)] x Slfx 130%,DC,,,,,,,,,,,,,,,,,,,,,,,,
Winter (October 1 - May 30) Monthly Credit,WV, per kW - month:,,,,,,,,,,,,,,,,,,,,,,,
"MCR = [$7.75 x Ca x Nf) +(Av x Ha)] x Slf x 85%  (each variable is defined and outlined in the link i provided)""",AL,Must have a load of at least 300 kW during summer ,,,,,,,,,,,,,,,,,,,,,,,
"Interruptible Credit Option (1-hour notice, 160hrs, summer) (New Mexico)",AL,Xcel Energy,,west ,summer,6,9,any ,n/a,n/a,n/a,4,n/a,n/a,n/a,1,n/a,160,day_of,n/a,1,Median of max 30 minute integrated  demands  between the hours of 12:00 pm and 8:00 pm weekdays between June 1 and September 30 of the prior year,n/a,"Monthly billing credits calculated by monthly credit rate (mcr) x lesser of customer's CIL or the interruptible demand. MCR equations are different for winter and summer:  Summer (June 1 - September 30) Monthly Credit, per kW - month:",
MCR = [$7.75 x Ca x Nf) +(Av x Ha)] x Slfx 130%,AR,,,,,,,,,,,,,,,,,,,,,,,,
Winter (October 1 - May 30) Monthly Credit,AR, per kW - month:,,,,,,,,,,,,,,,,,,,,,,,
"MCR = [$7.75 x Ca x Nf) +(Av x Ha)] x Slf x 85%  (each variable is defined and outlined in the link i provided)""",AR,Must have a load of at least 300 kW during summer ,,,,,,,,,,,,,,,,,,,,,,,
"Interruptible Credit Option (no notice, 160hrs, summer) (New Mexico)",AR,Xcel Energy,,west ,summer,6,9,any ,n/a,n/a,n/a,4,n/a,n/a,n/a,1,n/a,160,day_of,n/a,0,Median of max 30 minute integrated  demands  between the hours of 12:00 pm and 8:00 pm weekdays between June 1 and September 30 of the prior year,n/a,"Monthly billing credits calculated by monthly credit rate (mcr) x lesser of customer's CIL or the interruptible demand. MCR equations are different for winter and summer:  Summer (June 1 - September 30) Monthly Credit, per kW - month:",
MCR = [$7.75 x Ca x Nf) +(Av x Ha)] x Slfx 130%,TX,,,,,,,,,,,,,,,,,,,,,,,,
Winter (October 1 - May 30) Monthly Credit,FL, per kW - month:,,,,,,,,,,,,,,,,,,,,,,,
"MCR = [$7.75 x Ca x Nf) +(Av x Ha)] x Slf x 85%  (each variable is defined and outlined in the link i provided)""",FL,Must have a load of at least 300 kW during summer ,,,,,,,,,,,,,,,,,,,,,,,
Voluntary Load Reduction Purchase Option (New Mexico) ,FL,Xcel Energy,,west,summer?,6,9,,,,,,,,,,,,,,,5 day average of  weekday integrated loads for the period ending the day before an event,,Payment or billing credit will be given to the customer. Determined by applying the agreed upon selling price to the purchase quantity. (Purchase quantity depends on the difference between the company's actual load and its CLR). ,Must have a load of at least 500 kW in the summer 
Electric Rate Savings Tier 1 (North Dakota),FL,Xcel Energy,,west,year_round,1,12,any ,,,,,,,,,,150,day_of,n/a,n/a,,yes,Penalty for not curtailing is $8 per kW in excess of predetermined demand level. Discount is applied to controllable demand (higher discount for summer). ,Must be able to reduce load by at least 50 kW
Electric Rate Savings Tier 2 (North Dakota),GA,Xcel Energy,,west,year_round,1,12,any ,,,,4,8,,,,,150,day_of,n/a,n/a,,yes,Penalty for not curtailing is $10 per kW in excess of predetermined demand level. Discount is applied to controllable demand (higher discount for summer),Must be able to reduce load by at least 50 kW
Demand Response Resources Program (North Dakota) ,IL,CPower and Montant-Dakota Utilities Co.,,west,year_round,1,12,any ,n/a,n/a,n/a,n/a,4,n/a,n/a,n/a,n/a,50,day_of,n/a,1,,,Capacity payment based on customer's nomination ($35 per kW-year annual payment). Energy payment of $0.20 per kWh reduced for the first 4 hours of an event If there have been less than 50 hours dispatched for the year. Proportional penalty if load reduction falls below 50% of the customer's nomination. ,Must be able to reduce at least 50 kW of load
Interruptible Large Power Demand Response (North Dakota) ,IN,Montana-Dakota Utilities Co. ,,west ,year_round ,1,12,any ,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,100,day_of,n/a,0.167,,n/a,Reinbursment price for load curtailment will be agreed upon between the customer and the company. Penalty for non-performance will be ~$10.00 per kW of non-performance. ,Must have a demand of at least 500kW 
Flex Peak (Oregon),IN,Idaho Power ,,west ,summer ,6,9,weekdays ,n/a,n/a,n/a,2,4,15,22,n/a,n/a,60,day_of ,n/a,4,n/a,yes,"Average season performance percentage is calculated by dividing average load reduction by the average event week nomination. Fixed capacity payment rate depends on the range of average season performance percentage that the customer falls within (this number is multiplied by the number of weeks in the season). After the first 4 events of the season, a variable payment of $0.20 kWh is possible to receive. ",Must be able to reduce at least 20 kW during an event and have at least 3 events per season
Electric Rate Savings Tier 1 (South Dakota),IN,Xcel Energy,,west,year_round,1,12,any ,,,,,,,,,,150,day_of,n/a,n/a,,yes,Penalty for not curtailing is $8 per kW in excess of predetermined demand level. Discount is applied to controllable demand (higher discount for summer). ,Must be able to reduce load by at least 50 kW
Electric Rate Savings Tier 2 (South Dakota),IN,Xcel Energy,,west,year_round,1,12,any ,,,,4,8,,,,,150,day_of,n/a,n/a,,yes,Penalty for not curtailing is $10 per kW in excess of predetermined demand level. Discount is applied to controllable demand (higher discount for summer),Must be able to reduce load by at least 50 kW
Irrigation Load Control Program (Utah),IN,Rocky Mountain Power,,west,summer,6,8,weekdays ,n/a,n/a,n/a,1,4,14,21,n/a,n/a,52,day_of,n/a,4,"Rather than a baseline calculation, performance is determined by if the pump is fully shut off during an event. ",n/a,Payment is determined by multiplying avg load a customer can shut off by the incentive rate (this is set based on the customer's expected average kW per pump). 20% bonus for if an event lasts until 9pm,Must be on schedule 10 with Rocky Mountain Power
Voluntary Load Curtailment Rider (Washington) ,IN,Puget Sound Energy ,,west ,year_round,1,12,any ,n/a,n/a,n/a,1,n/a,n/a,n/a,n/a,n/a,n/a,day_ahead,9,n/a,Average consumption (per hour) for the corresponding hour of the previous two weeks,n/a,Billing credits calculated by the formula: 0.5 x ((Offer price x loss factor) - base schedule energy charge) x curtailed energy. Customers pay a penalty for failing to curtail their nominated amount (they don't have to pay if it is their first curtailment period). ,Must be able to curtail at least 500kW over the course of one hour 
Connected Solutions (Daily) (Connecticut),IN,Eversource,,northeast,summer,6,9,any ,n/a,60,n/a,2,3,15,20,n/a,n/a,n/a,day_ahead,n/a,24,,n/a,Payments of $200 per kW reduced each season ,Business of all sizes welcome
Connected Solutions (Targeted) (Connecticut),IN,Eversource,,northeast,summer,6,9,any ,n/a,8,n/a,2,3,15,20,n/a,n/a,n/a,day_ahead,n/a,24,,n/a,Payments of $35 per average kW reduced each season and a bonus of $10 per kW across weekend events ,Business of all sizes welcome
Peak Energy Savings Credit (Delaware),IN,Delmarva Power,,northeast,summer,6,9,any ,n/a,n/a,n/a,n/a,n/a,12,20,n/a,n/a,n/a,day_ahead,n/a,24,Average of the three days with the highest energy usage during the pas 30 days (not including the day before a peak savings day or weekends or holidays) ,n/a,Billing credit of $1.25 per kW reduced below baseline,"No enrollment needed, usually small companies"
Capacity Performance Program (Maryland) ,IA,PJM,,northeast,year_round,1,12,any ,n/a,10,n/a,n/a,6,n/a,n/a,n/a,n/a,n/a,day_ahead,n/a,1,,yes…,"Payment for load reduction (based on the 2023-2024 year) range from $15,000 - $20,000 per MW. Participants can also receive energy payments, and there are ""substantial"" penalties for not reducing load. ",Must reside in PJM jusrisdiction 
Connected Solutions Summer Targeted Dispatch (Massachusetts),IA,National Grid,,northeast,summer,6,9,weekdays,n/a,8,n/a,3,3,14,19,n/a,n/a,n/a,day_ahead,13,n/a,Looks at the customer's previous 10 similar days (no holidays or event days) ,n/a,Payment of $35 per kW for weekdays and an added $10 per kW on weekends. Also $1500 flat incentive to pay for required metering. ,"Must pay into energy efficiency fund and must be a customer of Unitil, National Grid, or Eversource"
Connected Solutions Daily Dispatch (Massachusetts),KY,National Grid,,northeast,summer,6,9,any ,n/a,60,n/a,2,3,14,19,n/a,n/a,n/a,day_ahead,13,n/a,Looks at the customer's previous 10 similar days (no holidays or event days) ,n/a,Payment of $200 per kW. Also $1500 flat incentive to pay for required metering. ,"Must pay into energy efficiency fund and must be a customer of Unitil, National Grid, or Eversource"
Connected Solutions Targeted Summer Dispatch (New Hampshire) ,KY,Unitil,,northeast ,summer,6,9,weekdays,n/a,8,n/a,3,3,14,19,n/a,n/a,n/a,day_ahead,14,n/a,Looks at the customer's previous 10 similar days (no holidays or event days) ,n/a,Payment of $35 per kW reduced. ,"Must pay into energy efficiency fund and must be a customer of Unitil, National Grid, or Eversource"
Distribution Load Relief Program (New Jersey),MI,Orange and Rockland,,northeast,summer,5,9,any ,n/a,n/a,n/a,4,n/a,6,24,n/a,n/a,n/a,day_of,n/a,2,"Uses ""Customer Baseline Load Procedure""",n/a,Payment of $3 per kW per month for customers in tier 1 locations. $5 per kW per month for customers in tier 2 locations. Also receive energy perfromance payments of $0.50 per kWh reduced. ,Must adhere to the rules
Distribution Load Relief Program (Contingency) (New York),MS,conEdison,,northeast,summer,5,9,any ,n/a,n/a,n/a,4,n/a,6,24,n/a,n/a,n/a,day_of,n/a,2,Average of the hourly usage of the top five days within the past 10 eligible days. ,yes,Tier 1 customers can make $18 per kW monthly and Tier 2 customers can make $25 per kW monthly. Also eligible for energy payment of $1 per kWh.,Must be able to curtail at least 50kW of load. 
Distribution Load Relief Program (Immediate) (New York),MO,conEdison,,northeast,summer,5,9,any ,n/a,n/a,n/a,4,n/a,6,24,n/a,n/a,n/a,day_of,n/a,0,Average of the hourly usage of the top five days within the past 10 eligible days. ,yes,Tier 1 customers can make $18 per kW monthly and Tier 2 customers can make $25 per kW monthly. Also eligible for energy payment of $1 per kWh.,Must be able to curtail at least 50kW of load. 
Commercial and Industrial Demand Response Program (Pennsylvania) ,NC,FirstEnergy,,northeast,summer,6,9,weekdays,n/a,6,n/a,4,4,n/a,n/a,n/a,n/a,n/a,day_ahead,9:45,n/a,,,,"Only for commercial customers of FirstEnergy  (Met-Ed, Penn Power, and West Penn Power) "
Connected Solutions Summer Targeted Dispatch (Rhode Island ),NC,National Grid,,northeast,summer,6,9,weekdays,n/a,8,n/a,3,3,14,19,n/a,n/a,n/a,day_ahead,13,n/a,Looks at the customer's previous 10 similar days (no holidays or event days) ,n/a,Payment of $35 per kW for weekdays and an added $10 per kW on weekends. Also $1500 flat incentive to pay for required metering. ,"Must pay into energy efficiency fund and must be a customer of Unitil, National Grid, or Eversource"
Connected Solutions Daily Dispatch (Rhode Island ),NC,National Grid,,northeast,summer,6,9,any ,n/a,60,n/a,2,3,14,19,n/a,n/a,n/a,day_ahead,13,n/a,Looks at the customer's previous 10 similar days (no holidays or event days) ,n/a,Payment of $200 per kW. Also $1500 flat incentive to pay for required metering. ,"Must pay into energy efficiency fund and must be a customer of Unitil, National Grid, or Eversource"
Curtailable Load Rider (Day Ahead) (Vermont) ,NC,Green Mountain Power,,northeast,year_round,1,12,weekdays,1,n/a,n/a,4,8,6,23,n/a,n/a,n/a,day_ahead,15,n/a,Base demand and base enrgy are determined in October of the program year. ,n/a,"Original energy  rate will be that of the tou rate 63/65, but if load is curtailed enough during events, thye will be billed for their reduced demand. ",Must be able to curtail 25% of load during events 
Curtailable Load Rider (Emergency ) (Vermont) ,NC,Green Mountain Power,,northeast,year_round,1,12,weekdays,1,n/a,n/a,4,8,6,23,n/a,n/a,n/a,day_of,n/a,1,Base demand and base enrgy are determined in October of the program year. ,n/a,"Original energy  rate will be that of the tou rate 63/65, but if load is curtailed enough during events, thye will be billed for their reduced demand. ",Must be able to curtail 25% of load during events 
TVA-Enel X Demand Response Program (Virginia) ,NC,enel X,,northeast,year_round,1,12,any ,n/a,n/a,n/a,n/a,n/a,5,20,n/a,n/a,n/a,day_of,n/a,0.5,n/a,n/a,,Tennessee Valley Authority customers. 
Capacity Performance Program (Washington DC) ,NC,PJM,,northeast,year_round,1,12,any ,n/a,10,n/a,n/a,6,n/a,n/a,n/a,n/a,n/a,day_ahead,n/a,1,,yes…,"Payment for load reduction (based on the 2023-2024 year) range from $15,000 - $20,000 per MW. Participants can also receive energy payments, and there are ""substantial"" penalties for not reducing load. ",Must reside in PJM jusrisdiction 
Capacity Performance Program (West Virginia) ,NC,PJM,,northeast,year_round,1,12,any ,n/a,10,n/a,n/a,6,n/a,n/a,n/a,n/a,n/a,day_ahead,n/a,1,,yes…,"Payment for load reduction (based on the 2023-2024 year) range from $10,000 - $15,000 per MW. Participants can also receive energy payments, and there are ""substantial"" penalties for not reducing load. ",Must reside in PJM jusrisdiction 
Non-Firm Capacity Interruptible Credit Option 1 (Alabama),NC,Alabama Power,,southeast ,year_round,1,12,any ,n/a,n/a,12,n/a,8,n/a,n/a,n/a,n/a,100,,,,,,,
Non-Firm Capacity Interruptible Credit Option 2 (Alabama),OH,Alabama Power,,southeast ,year_round,1,12,any ,n/a,n/a,4,n/a,8,n/a,n/a,n/a,n/a,50,,,,,,,
"Optional Interruptible Service Rider (summer, day ahead) (Arkansas) ",OK,Entergy Arkansas,,southeast ,summer,6,9,weekdays,n/a,n/a,10,n/a,4,13,20,1,n/a,n/a,day_ahead,16:30,n/a,,n/a,,"Must have at least 100kW of interruptible power, but no more that 100 MW."
"Optional Interruptible Service Rider (other months, day ahead) (Arkansas) ",SC,Entergy Arkansas,,southeast ,winter,10,5,weekdays,n/a,n/a,10,n/a,3,7,18,2,n/a,n/a,day_ahead,16:30,n/a,,n/a,,"Must have at least 100kW of interruptible power, but no more that 100 MW."
"Optional Interruptible Service Rider (summer, emergency) (Arkansas) ",SC,Entergy Arkansas,,southeast ,summer,6,9,weekdays,n/a,n/a,10,n/a,4,13,20,1,n/a,n/a,day_of,n/a,0.5,,n/a,,"Must have at least 100kW of interruptible power, but no more that 100 MW."
"Optional Interruptible Service Rider (other months, emergency) (Arkansas) ",SC,Entergy Arkansas,,southeast ,winter,10,5,weekdays,n/a,n/a,10,n/a,3,7,18,2,n/a,n/a,day_of,n/a,0.5,,n/a,,"Must have at least 100kW of interruptible power, but no more that 100 MW."
Load Management Standard Offer Program (Texas),SC,TNMP,,southeast ,summer,6,9,weekdays,n/a,4,n/a,n/a,4,13,19,n/a,n/a,n/a,day_of,n/a,0.5,Baseline is calculated using Texas Technical Reference Manual (TRM) 5.0 Vol 4 MV Protocols.,n/a,Annual payment of $40 per kW reduced. ,Must be able to reduce at least 40 kW of demand. 
Commercial Demand Reduction (summer) (Florida),SC,Florida Power and Lights,,southeast ,summer,4,10,,,,,,,15,18,n/a,n/a,n/a,day_of,n/a,4,,n/a,Monthly billing credits…,Must be able to shed at least 200kW of load 
"Commercial Demand Reduction (emergency, summer) (Florida)",TN,Florida Power and Lights,,southeast ,summer,4,10,,,,,,,15,18,n/a,n/a,n/a,day_of,n/a,0.25,,n/a,Monthly billing credits…,Must be able to shed at least 200kW of load 
Commercial Demand Reduction (winter) (Florida),TN,Florida Power and Lights,,southeast ,winter,11,3,,,,,,,6,9,n/a,n/a,n/a,day_of,n/a,4,,n/a,Monthly billing credits…,Must be able to shed at least 200kW of load 
"Commercial Demand Reduction (emergency, winter) (Florida)",WI,Florida Power and Lights,,southeast ,winter,11,3,,,,,,,6,9,n/a,n/a,n/a,day_of,n/a,0.25,,n/a,Monthly billing credits…,Must be able to shed at least 200kW of load 
Demand Plus Energy Credit Rider (Georgia),WI,Georgia Power,,southeast ,summer,6,9,weekdays,n/a,n/a,n/a,n/a,8,12,20,n/a,n/a,100,day_of,n/a,0.5,"In the summer months, the baseline demand is averaged over non-holiday, non event weekdays between 12pm and 8pm. During other months, it is averaged over all hours of the day. ",n/a,"Monthly billing credit: If contracted on or after 7/1/13, demand credit of $1.75 per kW and energy credit of $0.1175 per kWh. If contracted before 7/1/13 (with no interruption in contract), demand credit of $6.25 per kW and energy credit of $0.09 per kWh. ",Must be able to reduce load by at least 200kW 
Voluntary Load Reduction (Illinois) ,,ComEd,,midwest,year_round,1,12,any ,n/a,n/a,n/a,2,8,n/a,n/a,n/a,n/a,n/a,day_of,n/a,1,Baseline is determined by the average of the past 5 business days actual energy usage,n/a,Can earn payment of billing credits of $0.25 per kWh curtailed energy ,Must be able to reduce demand by at least 10 kW
PowerShare Call Option Economic ( summer 0/5) (Indiana),,Duke Energy,,midwest ,summer,6,8,weekdays,n/a,n/a,n/a,4,8,13,19,n/a,n/a,n/a,day_of,n/a,4,Average load during exposure periods for past days…? ,n/a,Monthly capacity rate of $12 per kW reduced per year and $0.05 per kWh reduced during events. Buy-through charge penalty ,Must be able to curtail at least 100kW of load
"PowerShare Call Option Economic ( 0/16, winter, morning) (Indiana)",,Duke Energy,,midwest ,non_summer,11,5,weekdays,n/a,n/a,n/a,4,8,6,11,n/a,n/a,n/a,day_of,n/a,4,Average load during exposure periods for past days…? ,n/a,Monthly capacity rate of $33 per kW reduced per year and $0.05 per kWh reduced during events. Buy-through charge penalty ,Must be able to curtail at least 100kW of load
"PowerShare Call Option Economic (160h/16, winter, morning) (Indiana)",,Duke Energy,,midwest ,non_summer,11,5,weekdays,n/a,n/a,n/a,4,8,6,11,n/a,n/a,160,day_of,n/a,4,Average load during exposure periods for past days…? ,n/a,Monthly capacity rate of $42 per kW reduced per year and $0.05 per kWh reduced during events. Buy-through charge penalty ,Must be able to curtail at least 100kW of load
"PowerShare Call Option Economic (0/16, winter, evening) (Indiana)",,Duke Energy,,midwest ,non_summer,11,5,weekdays,n/a,n/a,n/a,4,8,17,22,n/a,n/a,n/a,day_of,n/a,4,Average load during exposure periods for past days…? ,n/a,Monthly capacity rate of $33 per kW reduced per year and $0.05 per kWh reduced during events. Buy-through charge penalty ,Must be able to curtail at least 100kW of load
"PowerShare Call Option Economic (160h/16, winter, evening) (Indiana)",,Duke Energy,,midwest ,non_summer,11,5,weekdays,n/a,n/a,n/a,4,8,17,22,n/a,n/a,160,day_of,n/a,4,Average load during exposure periods for past days…? ,n/a,Monthly capacity rate of $42 per kW reduced per year and $0.05 per kWh reduced during events. Buy-through charge penalty ,Must be able to curtail at least 100kW of load
"PowerShare Call Option Emergency (summer, 0/5) (Indiana)",,Duke Energy,,midwest ,summer,6,8,any ,n/a,5,n/a,n/a,4,n/a,n/a,n/a,n/a,n/a,day_of,n/a,2,Average load during exposure periods for past days…? ,n/a,Monthly capacity rate of $12 per kW reduced per year and $0.05 per kWh reduced during events. Penalty charge for noncompliance ,Must be able to curtail at least 100kW of load
PowerShare Call Option Emergency (0/16) (Indiana),,Duke Energy,,midwest ,year_round,1,12,any ,n/a,16,n/a,n/a,4,n/a,n/a,n/a,n/a,n/a,day_of,n/a,2,Average load during exposure periods for past days…? ,n/a,Monthly capacity rate of $33 per kW reduced per year and $0.05 per kWh reduced during events. Penalty charge for noncompliance ,Must be able to curtail at least 100kW of load
PowerShare Call Option Emergency (160h/16) (Indiana),,Duke Energy,,midwest ,year_round,1,12,any ,n/a,16,n/a,n/a,4,n/a,n/a,n/a,n/a,n/a,day_of,n/a,2,Average load during exposure periods for past days…? ,n/a,Monthly capacity rate of $42 per kW reduced per year and $0.05 per kWh reduced during events. Penalty charge for noncompliance ,Must be able to curtail at least 100kW of load
PowerShare Quote Option (Indiana),,Duke Energy,,midwest ,year_round,1,12,any ,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,day_of,n/a,n/a,Average load during exposure periods for past days…? ,n/a,"Market price-based incentive for load reduced hourly, no penalty",Must be able to curtail at least 100kW of load
Interruptible Service Option (Condition 1)  (Iowa),,Alliant Energy,,midwest,year_round,1,12,any ,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,day_of,n/a,0,Billing credits are calculated using the positive difference between billing demand/actual demand and the firm demand ,n/a,Bill credit of $8.21 per kW reduced. Penalty of $26.27 per kW excess over firm contract demand and will double for non-compliance in subsequent months. ,Must be able to reduce loads by 200kW 
"Interruptible Service Option (Conditions 2,3, and 4)  (Iowa)",,Alliant Energy,,midwest,year_round,1,12,any ,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,day_of,n/a,2,Billing credits are calculated using the positive difference between billing demand/actual demand and the firm demand ,n/a,Bill credit of $8.21 per kW reduced. Buy through cost for conditions 2 and 3. Penalty of $26.27 per kW excess over firm contract demand and will double for non-compliance in subsequent months.  ,Must be able to reduce loads by 200kW 
Peak Load Management Demand Reduction (Kentucky),,Duke Energy,,southeast ,year_round,1,12,any ,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Must reduce demand to a demand firm level agreed upon with the company,n/a,Bill credit structure will be determined by the company . Customer will be charged for all usage above firm load levelat $10.00 per kWh if buy-through energy is unavailable. ,Must have billing period max 15-min demand of less than 500kW
Peak Load Management Energy Reduction Below Baseline (Kentucky),,Duke Energy,,southeast ,year_round,1,12,any ,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,Agreed upon between customer and company,n/a,"""Energy buy back price quotes"" will be provided by the company and will be payment for reducing load below baseline. (Customer will provide estimated load reduction value). ",Must have billing period max 15-min demand of less than 500kW
Interruptible Supple Rate (Michigan) ,,DTE Energy,,midwest,year_round,1,12,any ,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,day_of,n/a,1,,,"Penalty for non-compliance is $50 per kW for the highest 1-hour integrated interruptible demand or ""the actual damages incurred by the company"" (whichever is higher). Credit of $0.30 per kW and $0.0004 per kWh where service above sub-transmission level is required and they provide equipment. ",Must have interruptible load of at least 50kW but no more than 300MW
TVA-Enel X Demand Response Program (Mississippi) ,,enel X,,southeast ,year_round,1,12,any ,n/a,n/a,n/a,n/a,n/a,5,20,n/a,n/a,n/a,day_of,n/a,0.5,n/a,n/a,,Tennessee Valley Authority customers. 
Business Demand Response Progeam (Missouri),,Evergy,,midwest,summer,,,weekdays,n/a,20,n/a,n/a,10,10,20,n/a,n/a,n/a,,,,,yes…kinda,Earn $28 per kW commited and curtailed (on average over the summer). This price is adjusted based on performance.,Must be able to curtail demand by 25kW 
PowerShare Call Option Economic ( summer 0/5) (North Carolina),,Duke Energy,,southeast ,summer,6,8,weekdays,n/a,n/a,n/a,4,8,13,19,n/a,n/a,n/a,day_of,n/a,4,Average load during exposure periods for past days…? ,n/a,Monthly capacity rate of $12 per kW reduced per year and $0.05 per kWh reduced during events. Buy-through charge penalty ,Must be able to curtail at least 100kW of load
"PowerShare Call Option Economic ( 0/16, winter, morning) (North Carolina)",,Duke Energy,,southeast ,non_summer,11,5,weekdays,n/a,n/a,n/a,4,8,6,11,n/a,n/a,n/a,day_of,n/a,4,Average load during exposure periods for past days…? ,n/a,Monthly capacity rate of $33 per kW reduced per year and $0.05 per kWh reduced during events. Buy-through charge penalty ,Must be able to curtail at least 100kW of load
"PowerShare Call Option Economic (160h/16, winter, morning) (North Carolina)",,Duke Energy,,southeast ,non_summer,11,5,weekdays,n/a,n/a,n/a,4,8,6,11,n/a,n/a,160,day_of,n/a,4,Average load during exposure periods for past days…? ,n/a,Monthly capacity rate of $42 per kW reduced per year and $0.05 per kWh reduced during events. Buy-through charge penalty ,Must be able to curtail at least 100kW of load
"PowerShare Call Option Economic (0/16, winter, evening) (North Carolina)",,Duke Energy,,southeast ,non_summer,11,5,weekdays,n/a,n/a,n/a,4,8,17,22,n/a,n/a,n/a,day_of,n/a,4,Average load during exposure periods for past days…? ,n/a,Monthly capacity rate of $33 per kW reduced per year and $0.05 per kWh reduced during events. Buy-through charge penalty ,Must be able to curtail at least 100kW of load
"PowerShare Call Option Economic (160h/16, winter, evening) (North Carolina)",,Duke Energy,,southeast ,non_summer,11,5,weekdays,n/a,n/a,n/a,4,8,17,22,n/a,n/a,160,day_of,n/a,4,Average load during exposure periods for past days…? ,n/a,Monthly capacity rate of $42 per kW reduced per year and $0.05 per kWh reduced during events. Buy-through charge penalty ,Must be able to curtail at least 100kW of load
"PowerShare Call Option Emergency (summer, 0/5) (North Carolina)",,Duke Energy,,southeast ,summer,6,8,any ,n/a,5,n/a,n/a,4,n/a,n/a,n/a,n/a,n/a,day_of,n/a,2,Average load during exposure periods for past days…? ,n/a,Monthly capacity rate of $12 per kW reduced per year and $0.05 per kWh reduced during events. Penalty charge for noncompliance ,Must be able to curtail at least 100kW of load
PowerShare Call Option Emergency (0/16) (North Carolina),,Duke Energy,,southeast ,year_round,1,12,any ,n/a,16,n/a,n/a,4,n/a,n/a,n/a,n/a,n/a,day_of,n/a,2,Average load during exposure periods for past days…? ,n/a,Monthly capacity rate of $33 per kW reduced per year and $0.05 per kWh reduced during events. Penalty charge for noncompliance ,Must be able to curtail at least 100kW of load
PowerShare Call Option Emergency (160h/16) (North Carolina),,Duke Energy,,southeast ,year_round,1,12,any ,n/a,16,n/a,n/a,4,n/a,n/a,n/a,n/a,n/a,day_of,n/a,2,Average load during exposure periods for past days…? ,n/a,Monthly capacity rate of $42 per kW reduced per year and $0.05 per kWh reduced during events. Penalty charge for noncompliance ,Must be able to curtail at least 100kW of load
