Product,duration,day,month,year,start_time,end_time,event_hours,block_cat
CBP 1-4 DA,4,31,5,2013,14,18,"[14, 15, 16, 17]",1
CBP 1-4 DA,4,31,5,2013,14,18,"[14, 15, 16, 17]",2
CBP 1-4 DA,4,31,5,2013,14,18,"[14, 15, 16, 17]",3
CBP 1-4 DA,4,31,5,2013,14,18,"[14, 15, 16, 17]",4
CBP 1-4 DA,4,31,5,2013,14,18,"[14, 15, 16, 17]",5
CBP 1-4 DA,4,31,5,2013,14,18,"[14, 15, 16, 17]",6
CBP 2-6 DA,4,31,5,2013,14,18,"[14, 15, 16, 17]",1
CBP 2-6 DA,4,31,5,2013,14,18,"[14, 15, 16, 17]",2
CBP 2-6 DA,4,31,5,2013,14,18,"[14, 15, 16, 17]",3
CBP 2-6 DA,4,31,5,2013,14,18,"[14, 15, 16, 17]",4
CBP 2-6 DA,4,31,5,2013,14,18,"[14, 15, 16, 17]",5
CBP 2-6 DA,4,31,5,2013,14,18,"[14, 15, 16, 17]",6
CBP 4-8 DA,4,31,5,2013,14,18,"[14, 15, 16, 17]",1
CBP 4-8 DA,4,31,5,2013,14,18,"[14, 15, 16, 17]",2
CBP 4-8 DA,4,31,5,2013,14,18,"[14, 15, 16, 17]",3
CBP 4-8 DA,4,31,5,2013,14,18,"[14, 15, 16, 17]",4
CBP 4-8 DA,4,31,5,2013,14,18,"[14, 15, 16, 17]",5
CBP 4-8 DA,4,31,5,2013,14,18,"[14, 15, 16, 17]",6
CBP 2-6 DO,6,28,6,2013,12,18,"[12, 13, 14, 15, 16, 17]",1
CBP 2-6 DO,6,28,6,2013,12,18,"[12, 13, 14, 15, 16, 17]",2
CBP 2-6 DO,6,28,6,2013,12,18,"[12, 13, 14, 15, 16, 17]",3
CBP 2-6 DO,6,28,6,2013,12,18,"[12, 13, 14, 15, 16, 17]",4
CBP 2-6 DO,6,28,6,2013,12,18,"[12, 13, 14, 15, 16, 17]",5
CBP 2-6 DO,6,28,6,2013,12,18,"[12, 13, 14, 15, 16, 17]",6
CBP 1-4 DO,4,28,6,2013,13,17,"[13, 14, 15, 16]",1
CBP 1-4 DO,4,28,6,2013,13,17,"[13, 14, 15, 16]",2
CBP 1-4 DO,4,28,6,2013,13,17,"[13, 14, 15, 16]",3
CBP 1-4 DO,4,28,6,2013,13,17,"[13, 14, 15, 16]",4
CBP 1-4 DO,4,28,6,2013,13,17,"[13, 14, 15, 16]",5
CBP 1-4 DO,4,28,6,2013,13,17,"[13, 14, 15, 16]",6
CBP 4-8 DA,4,28,6,2013,14,18,"[14, 15, 16, 17]",1
CBP 4-8 DA,4,28,6,2013,14,18,"[14, 15, 16, 17]",6
CBP 4-8 DA,7,1,7,2013,12,19,"[12, 13, 14, 15, 16, 17, 18]",5
CBP 4-8 DA,7,1,7,2013,12,19,"[12, 13, 14, 15, 16, 17, 18]",6
CBP 2-6 DA,6,1,7,2013,13,19,"[13, 14, 15, 16, 17, 18]",5
CBP 2-6 DA,6,1,7,2013,13,19,"[13, 14, 15, 16, 17, 18]",6
CBP 1-4 DA,4,1,7,2013,14,18,"[14, 15, 16, 17]",1
CBP 1-4 DA,4,1,7,2013,14,18,"[14, 15, 16, 17]",6
CBP 4-8 DA,8,2,7,2013,11,19,"[11, 12, 13, 14, 15, 16, 17, 18]",5
CBP 4-8 DA,8,2,7,2013,11,19,"[11, 12, 13, 14, 15, 16, 17, 18]",6
CBP 2-6 DA,6,2,7,2013,13,19,"[13, 14, 15, 16, 17, 18]",5
CBP 2-6 DA,6,2,7,2013,13,19,"[13, 14, 15, 16, 17, 18]",6
CBP 1-4 DA,4,2,7,2013,14,18,"[14, 15, 16, 17]",1
CBP 1-4 DA,4,2,7,2013,14,18,"[14, 15, 16, 17]",6
CBP 1-4 DA,2,3,7,2013,15,17,"[15, 16]",1
CBP 1-4 DA,2,3,7,2013,15,17,"[15, 16]",6
CBP 2-6 DA,2,3,7,2013,15,17,"[15, 16]",5
CBP 2-6 DA,2,3,7,2013,15,17,"[15, 16]",6
CBP 1-4 DA,2,9,7,2013,15,17,"[15, 16]",1
CBP 1-4 DA,2,9,7,2013,15,17,"[15, 16]",6
CBP 2-6 DA,2,9,7,2013,15,17,"[15, 16]",5
CBP 2-6 DA,2,9,7,2013,15,17,"[15, 16]",6
CBP 1-4 DA,2,15,7,2013,15,17,"[15, 16]",1
CBP 1-4 DA,2,15,7,2013,15,17,"[15, 16]",6
CBP 2-6 DA,2,15,7,2013,15,17,"[15, 16]",5
CBP 2-6 DA,2,15,7,2013,15,17,"[15, 16]",6
CBP 1-4 DA,2,16,7,2013,15,17,"[15, 16]",1
CBP 1-4 DA,2,16,7,2013,15,17,"[15, 16]",6
CBP 2-6 DA,2,16,7,2013,15,17,"[15, 16]",5
CBP 2-6 DA,2,16,7,2013,15,17,"[15, 16]",6
CBP 1-4 DA,2,19,7,2013,15,17,"[15, 16]",1
CBP 1-4 DA,2,19,7,2013,15,17,"[15, 16]",6
CBP 2-6 DA,2,19,7,2013,15,17,"[15, 16]",5
CBP 2-6 DA,2,19,7,2013,15,17,"[15, 16]",6
CBP 1-4 DA,1,22,7,2013,16,17,[16],1
CBP 1-4 DA,1,22,7,2013,16,17,[16],6
CBP 1-4 DA,1,15,8,2013,16,17,[16],1
CBP 1-4 DA,1,15,8,2013,16,17,[16],5
CBP 1-4 DA,1,15,8,2013,16,17,[16],6
CBP 1-4 DA,1,22,8,2013,16,17,[16],1
CBP 1-4 DA,1,22,8,2013,16,17,[16],5
CBP 1-4 DA,1,22,8,2013,16,17,[16],6
CBP 1-4 DA,2,28,8,2013,15,17,"[15, 16]",1
CBP 1-4 DA,2,28,8,2013,15,17,"[15, 16]",5
CBP 1-4 DA,2,28,8,2013,15,17,"[15, 16]",6
CBP 2-6 DA,2,28,8,2013,15,17,"[15, 16]",5
CBP 2-6 DA,2,28,8,2013,15,17,"[15, 16]",6
CBP 1-4 DO,4,29,8,2013,14,18,"[14, 15, 16, 17]",1
CBP 1-4 DO,4,29,8,2013,14,18,"[14, 15, 16, 17]",2
CBP 1-4 DO,4,29,8,2013,14,18,"[14, 15, 16, 17]",3
CBP 1-4 DO,4,29,8,2013,14,18,"[14, 15, 16, 17]",4
CBP 1-4 DO,4,29,8,2013,14,18,"[14, 15, 16, 17]",5
CBP 1-4 DO,4,29,8,2013,14,18,"[14, 15, 16, 17]",6
CBP 2-6 DO,5,29,8,2013,14,19,"[14, 15, 16, 17, 18]",1
CBP 2-6 DO,5,29,8,2013,14,19,"[14, 15, 16, 17, 18]",2
CBP 2-6 DO,5,29,8,2013,14,19,"[14, 15, 16, 17, 18]",3
CBP 2-6 DO,5,29,8,2013,14,19,"[14, 15, 16, 17, 18]",4
CBP 2-6 DO,5,29,8,2013,14,19,"[14, 15, 16, 17, 18]",5
CBP 2-6 DO,5,29,8,2013,14,19,"[14, 15, 16, 17, 18]",6
CBP 1-4 DA,2,29,8,2013,15,17,"[15, 16]",1
CBP 1-4 DA,2,29,8,2013,15,17,"[15, 16]",5
CBP 1-4 DA,2,29,8,2013,15,17,"[15, 16]",6
CBP 2-6 DA,2,29,8,2013,15,17,"[15, 16]",5
CBP 2-6 DA,2,29,8,2013,15,17,"[15, 16]",6
CBP 1-4 DO,4,30,8,2013,11,15,"[11, 12, 13, 14]",1
CBP 1-4 DO,4,30,8,2013,11,15,"[11, 12, 13, 14]",2
CBP 1-4 DO,4,30,8,2013,11,15,"[11, 12, 13, 14]",3
CBP 1-4 DO,4,30,8,2013,11,15,"[11, 12, 13, 14]",4
CBP 1-4 DO,4,30,8,2013,11,15,"[11, 12, 13, 14]",5
CBP 1-4 DO,4,30,8,2013,11,15,"[11, 12, 13, 14]",6
CBP 2-6 DO,6,30,8,2013,11,17,"[11, 12, 13, 14, 15, 16]",1
CBP 2-6 DO,6,30,8,2013,11,17,"[11, 12, 13, 14, 15, 16]",2
CBP 2-6 DO,6,30,8,2013,11,17,"[11, 12, 13, 14, 15, 16]",3
CBP 2-6 DO,6,30,8,2013,11,17,"[11, 12, 13, 14, 15, 16]",4
CBP 2-6 DO,6,30,8,2013,11,17,"[11, 12, 13, 14, 15, 16]",5
CBP 2-6 DO,6,30,8,2013,11,17,"[11, 12, 13, 14, 15, 16]",6
